timestamp,machine_id,temperature,pressure,vibration,flow_rate,humidity,failure
2026-01-01 00:00:00,PUMP_1,82,205,0.28,118,44,0
2026-01-01 01:00:00,PUMP_1,85,210,0.32,120,45,0
2026-01-01 02:00:00,PUMP_1,90,220,0.40,115,47,0
2026-01-01 03:00:00,PUMP_1,96,245,0.62,108,50,1
2026-01-01 04:00:00,COMP_1,78,190,0.25,130,42,0
2026-01-01 05:00:00,COMP_1,80,195,0.27,128,43,0
2026-01-01 06:00:00,COMP_1,88,210,0.35,125,45,0
2026-01-01 07:00:00,COMP_1,95,235,0.55,115,48,1
2026-01-01 08:00:00,VALVE_1,70,180,0.20,135,40,0
2026-01-01 09:00:00,VALVE_1,72,185,0.22,133,41,0
2026-01-01 10:00:00,VALVE_1,75,190,0.25,130,42,0
2026-01-01 11:00:00,VALVE_1,92,230,0.58,112,49,1
2026-01-01 12:00:00,PUMP_2,84,208,0.30,119,45,0
2026-01-01 13:00:00,PUMP_2,87,215,0.33,117,46,0
2026-01-01 14:00:00,PUMP_2,93,225,0.48,112,48,0
2026-01-01 15:00:00,PUMP_2,97,250,0.65,105,52,1
2026-01-01 16:00:00,COMP_2,79,192,0.26,129,43,0
2026-01-01 17:00:00,COMP_2,83,200,0.29,126,44,0
2026-01-01 18:00:00,COMP_2,91,220,0.45,118,47,0
2026-01-01 19:00:00,COMP_2,98,245,0.60,110,50,1
2026-01-01 20:00:00,VALVE_2,71,182,0.21,134,41,0
2026-01-01 21:00:00,VALVE_2,74,188,0.24,132,42,0
2026-01-01 22:00:00,VALVE_2,89,210,0.42,120,46,0
2026-01-01 23:00:00,VALVE_2,94,235,0.57,115,49,1
2026-01-02 00:00:00,PUMP_1,80,200,0.26,122,43,0
2026-01-02 01:00:00,PUMP_1,83,208,0.30,119,44,0
2026-01-02 02:00:00,PUMP_1,88,218,0.38,116,46,0
2026-01-02 03:00:00,PUMP_1,94,240,0.59,109,49,1
2026-01-02 04:00:00,COMP_1,76,188,0.24,132,41,0
2026-01-02 05:00:00,COMP_1,79,196,0.28,129,42,0
2026-01-02 06:00:00,COMP_1,86,208,0.33,126,44,0
2026-01-02 07:00:00,COMP_1,93,232,0.52,117,47,1
2026-01-02 08:00:00,VALVE_1,69,178,0.19,137,39,0
2026-01-02 09:00:00,VALVE_1,71,183,0.21,134,40,0
2026-01-02 10:00:00,VALVE_1,74,189,0.24,131,41,0
2026-01-02 11:00:00,VALVE_1,91,228,0.56,113,48,1
2026-01-02 12:00:00,PUMP_2,82,206,0.29,121,44,0
2026-01-02 13:00:00,PUMP_2,85,213,0.32,118,45,0
2026-01-02 14:00:00,PUMP_2,91,223,0.46,113,47,0
2026-01-02 15:00:00,PUMP_2,95,248,0.63,106,51,1
2026-01-02 16:00:00,COMP_2,77,190,0.25,131,42,0
2026-01-02 17:00:00,COMP_2,81,198,0.28,127,43,0
2026-01-02 18:00:00,COMP_2,89,218,0.43,119,46,0
2026-01-02 19:00:00,COMP_2,96,242,0.58,111,49,1
2026-01-02 20:00:00,VALVE_2,70,180,0.20,135,40,0
2026-01-02 21:00:00,VALVE_2,73,186,0.23,133,41,0
2026-01-02 22:00:00,VALVE_2,87,208,0.40,121,45,0
2026-01-02 23:00:00,VALVE_2,92,232,0.55,116,48,1
2026-01-03 00:00:00,PUMP_1,81,203,0.27,120,43,0
2026-01-03 01:00:00,PUMP_1,84,211,0.31,118,45,0
2026-01-03 02:00:00,PUMP_1,89,221,0.39,114,47,0
2026-01-03 03:00:00,PUMP_1,95,242,0.61,107,50,1
2026-01-03 04:00:00,COMP_1,77,189,0.25,131,42,0
2026-01-03 05:00:00,COMP_1,79,194,0.26,129,43,0
2026-01-03 06:00:00,COMP_1,87,209,0.34,124,45,0
2026-01-03 07:00:00,COMP_1,94,233,0.53,116,48,1
2026-01-03 08:00:00,VALVE_1,68,176,0.18,138,38,0
2026-01-03 09:00:00,VALVE_1,70,181,0.20,135,39,0
2026-01-03 10:00:00,VALVE_1,73,187,0.23,132,40,0
2026-01-03 11:00:00,VALVE_1,90,226,0.54,114,47,1
2026-01-03 12:00:00,PUMP_2,83,207,0.31,120,45,0
2026-01-03 13:00:00,PUMP_2,86,214,0.34,116,46,0
2026-01-03 14:00:00,PUMP_2,92,224,0.47,111,48,0
2026-01-03 15:00:00,PUMP_2,96,249,0.64,104,52,1
2026-01-03 16:00:00,COMP_2,78,191,0.27,130,43,0
2026-01-03 17:00:00,COMP_2,82,199,0.30,125,44,0
2026-01-03 18:00:00,COMP_2,90,219,0.44,117,47,0
2026-01-03 19:00:00,COMP_2,97,243,0.59,109,50,1
2026-01-03 20:00:00,VALVE_2,72,182,0.22,133,42,0
2026-01-03 21:00:00,VALVE_2,75,189,0.25,131,43,0
2026-01-03 22:00:00,VALVE_2,88,209,0.41,119,46,0
2026-01-03 23:00:00,VALVE_2,93,233,0.56,114,49,1
2026-01-04 00:00:00,PUMP_1,79,201,0.25,121,42,0
2026-01-04 01:00:00,PUMP_1,82,209,0.29,119,44,0
2026-01-04 02:00:00,PUMP_1,87,219,0.37,115,46,0
2026-01-04 03:00:00,PUMP_1,93,239,0.58,108,49,1
2026-01-04 04:00:00,COMP_1,75,187,0.23,133,41,0
2026-01-04 05:00:00,COMP_1,78,193,0.25,130,42,0
2026-01-04 06:00:00,COMP_1,85,207,0.32,127,44,0
2026-01-04 07:00:00,COMP_1,92,230,0.50,118,47,1
2026-01-04 08:00:00,VALVE_1,69,177,0.19,136,39,0
2026-01-04 09:00:00,VALVE_1,71,182,0.21,134,40,0
2026-01-04 10:00:00,VALVE_1,74,188,0.24,131,41,0
2026-01-04 11:00:00,VALVE_1,89,224,0.52,115,46,1
2026-01-04 12:00:00,PUMP_2,81,205,0.28,122,44,0
2026-01-04 13:00:00,PUMP_2,84,212,0.32,119,45,0
2026-01-04 14:00:00,PUMP_2,90,222,0.45,112,47,0
2026-01-04 15:00:00,PUMP_2,94,246,0.62,105,51,1
2026-01-04 16:00:00,COMP_2,76,189,0.26,131,42,0
2026-01-04 17:00:00,COMP_2,80,197,0.29,127,43,0
2026-01-04 18:00:00,COMP_2,88,217,0.42,120,46,0
2026-01-04 19:00:00,COMP_2,95,240,0.57,112,49,1
2026-01-04 20:00:00,VALVE_2,71,181,0.21,134,41,0
2026-01-04 21:00:00,VALVE_2,73,187,0.23,132,42,0
2026-01-04 22:00:00,VALVE_2,86,207,0.39,122,45,0
2026-01-04 23:00:00,VALVE_2,91,231,0.54,117,48,1
2026-01-05 00:00:00,PUMP_1,80,202,0.26,120,43,0
2026-01-05 01:00:00,PUMP_1,83,210,0.30,118,44,0
2026-01-05 02:00:00,PUMP_1,88,220,0.38,114,46,0
2026-01-05 03:00:00,PUMP_1,94,241,0.60,109,49,1
2026-01-05 04:00:00,COMP_1,76,188,0.24,132,42,0
2026-01-05 05:00:00,COMP_1,79,195,0.27,128,43,0
2026-01-05 06:00:00,COMP_1,86,210,0.33,125,45,0
2026-01-05 07:00:00,COMP_1,93,234,0.54,116,48,1
2026-01-05 08:00:00,VALVE_1,68,175,0.17,139,38,0
2026-01-05 09:00:00,VALVE_1,70,180,0.19,136,39,0
2026-01-05 10:00:00,VALVE_1,73,186,0.22,133,40,0
2026-01-05 11:00:00,VALVE_1,91,229,0.57,113,49,1
2026-01-05 12:00:00,PUMP_2,82,206,0.29,121,45,0
2026-01-05 13:00:00,PUMP_2,85,213,0.33,117,46,0
2026-01-05 14:00:00,PUMP_2,91,223,0.46,113,48,0
2026-01-05 15:00:00,PUMP_2,95,247,0.63,106,51,1
2026-01-05 16:00:00,COMP_2,77,190,0.25,130,43,0
2026-01-05 17:00:00,COMP_2,81,200,0.30,126,44,0
2026-01-05 18:00:00,COMP_2,89,220,0.43,119,47,0
2026-01-05 19:00:00,COMP_2,96,244,0.58,111,50,1
2026-01-05 20:00:00,VALVE_2,70,179,0.19,135,40,0
2026-01-05 21:00:00,VALVE_2,74,188,0.24,131,42,0
2026-01-05 22:00:00,VALVE_2,87,208,0.40,120,45,0
2026-01-05 23:00:00,VALVE_2,92,232,0.55,116,48,1
2026-01-06 00:00:00,PUMP_1,81,204,0.27,119,43,0
2026-01-06 01:00:00,PUMP_1,84,212,0.31,117,45,0
2026-01-06 02:00:00,PUMP_1,89,222,0.39,113,47,0
2026-01-06 03:00:00,PUMP_1,96,244,0.62,108,50,1
2026-01-06 04:00:00,COMP_1,77,189,0.25,131,42,0
2026-01-06 05:00:00,COMP_1,80,196,0.28,127,43,0
2026-01-06 06:00:00,COMP_1,87,211,0.35,123,45,0
2026-01-06 07:00:00,COMP_1,94,235,0.55,115,48,1
2026-01-06 08:00:00,VALVE_1,69,177,0.18,138,39,0
